epoch,acc,loss,val_acc,val_loss
0,0.7477631446787182,0.5149098541840388,0.6049596897703444,0.7461997371496553
1,0.8273600080426259,0.3969736864090541,0.8023267680497204,0.4444836713134154
2,0.8549814014335583,0.34308619066328333,0.8303908562584792,0.3802572371479394
3,0.8729013773056806,0.3065669983430665,0.8651392999772259,0.3283695080308528
4,0.885970644427386,0.28073280236284087,0.8775895499784079,0.28363035381880447
5,0.8937870714788378,0.2606954766710619,0.8761608327623654,0.29396660398896807
6,0.900723836344547,0.2473047609315801,0.8934074905845921,0.29327188044746916
7,0.9086659294319498,0.2332965397749089,0.8793754464984609,0.2977616363629381
8,0.9115813813210013,0.22264470961617144,0.8302377793652413,0.3682014760234816
9,0.9173871519110892,0.20998575510158482,0.8967751811895945,0.2565513425505226
10,0.9196491404503473,0.2055327443441003,0.9053474844858493,0.23191193742361077
11,0.9220116618135724,0.19759459650503328,0.9007041535337114,0.24597755555188563
12,0.9251784457685337,0.18919743956142038,0.9020818451105642,0.24046441192912354
13,0.9260329747782456,0.18806568431688864,0.899122359448762,0.26534173401238564
14,0.9285462953714291,0.18187295876700302,0.9067762016775608,0.23336990095818697
15,0.9315371468784558,0.1743947093866483,0.9153485049738156,0.22125940741702166
16,0.9338745350416814,0.1708404842340564,0.9024900500051025,0.24127828789275574
17,0.936362722428873,0.1623030364561335,0.9112664557851228,0.22264191235178696
18,0.9401578365396205,0.15759673671943167,0.9144300438820288,0.21047492714220314
19,0.9393787071478837,0.15763220985495793,0.9095315848555975,0.2213690187498822
20,0.94000703730367,0.15513228922872624,0.9159097867372608,0.22030016467247415
21,0.9414144968392083,0.15139499135001575,0.917542606388407,0.20383425882132347
22,0.943073288428672,0.14757830977838363,0.9251964486415367,0.20418861046842512
23,0.9443048155342525,0.14697153655364786,0.9238697826308807,0.20718011591655341
24,0.9459887403237157,0.14304900753988842,0.9281559342790081,0.19081326888260008
25,0.9457625414817743,0.14234854588724205,0.9241759363200327,0.19946322098552285
26,0.9486277269648346,0.1366062382333684,0.8583018675861657,0.3086374922195422
27,0.949281190314628,0.1350356046265066,0.9184100418653351,0.22593434326900416
